"CA Owner","Certificate Name","Apple Status","Apple Trust Bits","Google Chrome Status","Microsoft Status","Microsoft EKUs","Mozilla Status","Mozilla Trust Bits","SHA-256 Fingerprint"
"DigiCert","DigiCert CS ECC P384 Root G5","Not Included","","Not Included","Included","Code Signing;Time Stamping","Not Yet Included","","26C56AD2208D1E9B152F66853BF4797CBEB7552C1F3F477251E8CB1AE7E797BF"
"DigiCert","DigiCert CS RSA4096 Root G5","Not Included","","Not Included","Included","Code Signing;Time Stamping","Not Yet Included","","7353B6D6C2D6DA4247773F3F07D075DECB5134212BEAD0928EF1F46115260941"
"DigiCert","DigiCert ECC P384 Root G5","Not Included","","Not Included","Included","Server Authentication;Client Authentication;Code Signing;Document Signing;Secure Email;Time Stamping","Not Yet Included","","C1468CF2254E6004B24696ABA209D1A30BA6E2DFF68A9A4E32C6AB414F90C8D9"
"DigiCert","DigiCert Global Root CA","Included","serverAuth;clientAuth;emailProtection","Included","Included","Server Authentication;Client Authentication;Code Signing;Secure Email;Time Stamping","Included","Websites;Email","4348A0E9444C78CB265E058D5E8944B4D84F9662BD26DB257F8934A443C70161"
"DigiCert","DigiCert Global Root G2","Included","serverAuth;clientAuth;emailProtection","Included","Included","Server Authentication;Client Authentication;Code Signing;Secure Email;Time Stamping","Included","Websites;Email","CB3CCBB76031E5E0138F8DD39A23F9DE47FFC35E43C1144CEA27D46A5AB1CB5F"
"DigiCert","DigiCert Global Root G3","Included","serverAuth;clientAuth;emailProtection","Included","Included","Server Authentication;Client Authentication;Code Signing;Secure Email;Time Stamping","Included","Websites;Email","31AD6648F8104138C738F39EA4320133393E3A18CC02296EF97C2AC9EF6731D0"
"DigiCert","DigiCert High Assurance EV Root CA","Included","serverAuth;clientAuth;emailProtection","Included","Included","Server Authentication;Client Authentication;Code Signing;Secure Email;Time Stamping","Included","Websites;Email","7431E5F4C3C1CE4690774F0B61E05440883BA9A01ED00BA6ABD7806ED3B118CF"
"DigiCert","DigiCert RSA4096 Root G5","Not Included","","Not Included","Included","Server Authentication;Client Authentication;Code Signing;Document Signing;Secure Email;Time Stamping","Not Yet Included","","E46A392204A8DCA342A71C1CA9A60C9185B9A930370120C3B9C7E3856F0D8F3B"
"DigiCert","DigiCert SMIME ECC P384 Root G5","Included","clientAuth;emailProtection","Not Included","Included","Client Authentication;Secure Email","Included","Email","E8E8176536A60CC2C4E10187C3BEFCA20EF263497018F566D5BEA0F94D0C111B"
"DigiCert","DigiCert SMIME RSA4096 Root G5","Included","clientAuth;emailProtection","Not Included","Included","Client Authentication;Secure Email","Included","Email","90370D3EFA88BF58C30105BA25104A358460A7FA52DFC2011DF233A0F417912A"
"DigiCert","DigiCert TLS ECC P384 Root G5","Included","serverAuth;clientAuth","Included","Included","Server Authentication;Client Authentication","Included","Websites","018E13F0772532CF809BD1B17281867283FC48C6E13BE9C69812854A490C1B05"
"DigiCert","DigiCert TLS RSA4096 Root G5","Included","serverAuth;clientAuth","Included","Included","Server Authentication;Client Authentication","Included","Websites","371A00DC0533B3721A7EEB40E8419E70799D2B0A0F2C1D80693165F7CEC4AD75"
"DigiCert","DigiCert Trusted Root G4","Included","serverAuth;clientAuth;emailProtection","Included","Included","Server Authentication;Client Authentication;Code Signing;Secure Email;Time Stamping","Included","Websites;Email","552F7BDCF1A7AF9E6CE672017F4F12ABF77240C78E761AC203D1D9D20AC89988"
"DigiCert","DigiCert Verified Mark Root CA","Included","BrandIndicatorforMessageIdentification","Not Included","Not Included","","Not Yet Included","","504386C9EE8932FECC95FADE427F69C3E2534B7310489E300FEE448E33C46B42"
"DigiCert","GeoTrust Universal CA","Not Included","","Not Included","Included","Server Authentication;Client Authentication;Code Signing;Secure Email;Time Stamping","Removed","","A0459B9F63B22559F5FA5D4C6DB3F9F72FF19342033578F073BF1D1B46CBB912"
"DigiCert","Hotspot 2.0 Trust Root CA - 03","Not Included","","Not Included","Included","Server Authentication;Client Authentication;Secure Email","Not Yet Included","","A3CC68595DFE7E86D8AD1772A8B5284ADD54ACE3B8A798DF47BCCAFB1FDB84DF"
"DigiCert","QuoVadis Client ECC P384 Root G4","Not Included","","Not Included","Included","Client Authentication","Not Yet Included","","D3C07AC44BD8FF1975BC62F1C7E9840EA8E188A4BA51133B8C4EFF05E34A2729"
"DigiCert","QuoVadis Client RSA 4096 Root G4","Not Included","","Not Included","Included","Client Authentication","Not Yet Included","","80AC91FA891C79723A61ABC77F86E19905A92DA27E51695CA0C0B66C1C039BF2"
"DigiCert","QuoVadis Root CA 1 G3","Included","serverAuth;clientAuth;emailProtection","Removed","Included","Server Authentication;Client Authentication;Code Signing;OCSP Signing;Secure Email;Time Stamping","Included","Websites;Email","8A866FD1B276B57E578E921C65828A2BED58E9F2F288054134B7F1F4BFC9CC74"
"DigiCert","QuoVadis Root CA 2","Included","serverAuth;clientAuth;emailProtection","Included","Included","Server Authentication;Client Authentication;Code Signing;OCSP Signing;Secure Email;Time Stamping","Included","Websites;Email","85A0DD7DD720ADB7FF05F83D542B209DC7FF4528F7D677B18389FEA5E5C49E86"
